text,tag
в целом → совсем,lex
судьбе → судьбу,"gov, prep, constr"
влят огромно → сильно влияет,wo
состоят → состоит,agrnum
подозрительно → виновато,lex
имеет → играет,constr
"сказал раньше → уже сказал,",constr
« игра слов» →  игра со словами,constr
настояшие → подлинное,"lex, ortho"
как → что,lex
собственого → своего,lex
принемают → принимают,ortho
не → ни,ortho
как → [MASK],delw
подлинным → настоящим,lex
меня видят как → во мне видят,constr
Американизированным → американизированным,ortho
Украинцем → украинцем,ortho
Америки → Америке,ortho
в → на,lex
как →  ,insert
петлю → западню,lex
каждий → каждый,ortho
это → эту,gov
интерес → интерес к,gov
обоих стран → обеим странам,agrcase
на крупном плане → в общем,constr
дать → рассказать,lex
историю → историю города,lex
обучение → научить их,lex
русского языка → русскому языку,"gov, constr, agrstr"
города → о городе,"agrstr, gov, lex, syntax"
с → со,altern
имеют основание в → основаны на,constr
Нижнем → Нижнем Новгороде,lex
показывала → показали,"agrnum, asp"
меня → мне,"ref, agrstr"
о → об,altern
рассказывали → рассказали,asp
книга → книгу,gov
о → об,altern
друзям → друзьям,ortho
Нижнем → Нижнем Новгороде,lex
я могла бы → бы я могла,wo
Кэрстоун проекте → проекте Кэпстоун,"wo, ortho"
книгу о них → о них книгу,wo
разговоривала → разговаривала,ortho
будет → в книге будет,constr
впечатление → впечатление о городе,constr
дают → создают,lex
о легендах → легендам,"gov, constr"
дали → положили,lex
текущих → [MASK],lex
в курсе → на курсе,"lex, prep"
но → и,"conj, lex"
могут понимать → смогут понять,asp
контрольировать → контролировать,ortho
Тоже → Также,lex
"сделать → в том, чтобы сделать",syntax
длинные → длинными,gov
нем → них,"ref, agrnum"
ситуацию → ситуация,"agrcase, syntax"
и → или,"lex, conj"
или → и,"conj, lex"
предпологают → предполагают,ortho
Нижнем → Нижнем Новгороде,lex
прежное знание → наличие знания,constr
персонажов → персонажей,infl
героя → герои,ortho
приукрашивали → приукрасили,asp
развития → развитие,num
забоиться → заботиться,ortho
о → об,altern
итории → истории,ortho
проблеммы → проблемы,ortho
о том → c тем,"gov, constr"
что → которые,"lex, conj"
является → являются,agrnum
сложным → сложными,agrnum
скучным → скучными,agrnum
жестоким → жестокими,agrnum
с проектом → проектом,prep
все → их все,lex
Блогодаря → Благодаря,ortho
города → о городе,"gov, constr, lex, syntax"
впечатление → представление,lex
которое → которого,"gov, agrcase, constr"
читательям → читателям,ortho
дать → передать,lex
впечатление → представление,lex
буду слышать → услышу,asp
спецальности → специальности,ortho
спецальности → специальности,ortho
которую → который,agrgender
Принципами → «Принципы,"gov, syntax"
этом → этой,"gov, agrcase, gender"
четверте → четверти,"gov, agrgender"
в → на,lex
работают → работает,agrnum
квалификацы → квалификацию,misspell
На → В,lex
группов → групп,"gov, gender"
в месте → вместе,space
для → до,"lex, gov, constr"
нам → нас,gov
фундаментальмыми → фундаментальными,ortho
стати → статьи,ortho
стати → статьи,ortho
написанные → написаны,syntax
тчение → течение,ortho
стати → статьи,ortho
входящие → входящую,agrcase
любой → любую,agrcase
стате → статью,"gov, agrcase, ortho"
составляет → состоит,lex
литература → на литературу,gov
разницу → разница,"agrcase, syntax"
научных → научном,num
анализах → анализе,num
компъютерной → компьютерной,ortho
матиматические → математические,ortho
анализы → вычисления,lex
исследователам → исследователям,ortho
учим → учимся,refl
английскои → английском,ortho
слова → слов,num
выражения → выражений,num
на какие → какая,num
информации → информация,num
нужны → нужна,agrnum
писменной → письменные,"ortho, agrcase"
напивала → написала,ortho
стати → статьи,ortho
называется → которая называется,del
рецензой → Infl,рецензией
използовал → использовал,ortho
стате → статье,ortho
дать → сдать,lex
рассматрывать → рассмотреть,asp
детей → детях,"gov, agrcase"
стати → статьи,ortho
исползовать → использовать,ortho
стати → статьи,ortho
рецензу → рецензию,misspell
литенратуры → на литературу,ortho
"проблема в том → проблема, которая состоит в том","gov, prep, constr"
в основном → в основном только c,del
других стран → в других странах,"lex, syntax"
власть → авторитет,lex
решения → решение,num
прошли → снизились,lex
отметит → отметить,ortho
обшего → общего,ortho
"вопросах → вопросах, касающихся",del
составить → изложить свою,lex
научно-технологическую → научно-технической области,constr
области → вопросы,lex
Обединенных → Объединенных,ortho
и → а,"conj, constr, lex"
обсужденниях → обсуждении,"ortho, num"
так же и → а также,"conj, constr, space"
как → что,conj
"как → считает, что",conj
этом компоненте → этой сфере,constr
последные → последние,ortho
сокрашению → сокращению,ortho
алтернативные → альтернативные,ortho
энергозависимосити → энергозависимости,ortho
устрайвает → устраивает,ortho
отметит → отметить,ortho
экомики → экономики,ortho
развываются → развиваются,ortho
сказат → сказать,ortho
играком → игроком,ortho
миравой → мировой,ortho
укрепления → укрепление,gov
будушем → будущем,ortho
заключении → заключение,ortho
нравился → понравился,asp
"По моему → По-моему,","hyphen, punct"
"Как → Показано, как",del
массово → коллективно,lex
продуктовой → пищевой,lex
дам → дан,asp
думать → о том,del
стираюсь → стараюсь,lex
был →   ,mode
для меня → мне,"gov, constr"
Используясь → Пользуясь,syntax
что → чем,agrgender
ограниченный → небольшой,lex
терминах → темах,lex
повторить → повторять,asp
привык → привыкал,syntax
спрашивали → спросили,asp
вы → бы вы,mode
он → им,agrcase
того → тем,agrcase
работе → работу,agrcase
времени → [MASK],insert
слова → слово,"infl, ortho"
Знаете → Знаю,syntax
Знаете → Знаю,syntax
уполномоченные → уполномоченные люди,del
Знаете → Знаю,syntax
Знаете → Знаю,syntax
на → над,"lex, prep"
сами → самим,agrcase
цчутаю → считаю,misspell
продук → продукт,ortho
происчодят → происходят,ortho
Общесто → Общество,ortho
В последствие → Впоследствии,"ortho, space"
строятся → строится,agrnum
материализм → материальное,lex
аморальноя → аморальная,ortho
смерти → уничтожении,lex
коруптных → коррумпированных,deriv
нехороших → плохих,lex
увеличелос → [MASK],"ortho, ortho"
последних → последние,gov
людей → [MASK],lex
вупискниками → выпускниками,misspell
Пенсилвании → Пенсильвания,translit
полилитик → политик,ortho
классификации → классификация,num
формальних → формальных,ortho
граматики → грамматики,ortho
грандиозном → замечательном,lex
в сталинском ампире → в стиле Сталинского ампира,constr
"Посмотрев на этот дом, → При взгляде на этот дом",constr
живя в таком доме → если вы живете в таком доме,constr
выходя из подъезда → у выхода из подъезда находится,constr
шумы → шума,num
квартире → квартиру,"gov, syntax"
вы будете иметь → у вас будет,constr
долгожительности → долгожительству,deriv
прибовляет → прибавляет,ortho
Малоподвожный → Малоподвижный,ortho
чем → что,conj
челивеческой биологией → биологией человека,"ortho, wo"
старости → старения,lex
Влеяние → Влияние,ortho
химикатные → химические,deriv
здаровье → здоровье,ortho
загрязнёная → загрязненная,ortho
посвещает → посвящает,ortho
Японие → Японии,infl
служителе → помощнике,lex
всё хорошо в Нью-Йорке → у вас в Нью-Йорке все хорошо,"wo, constr"
Мне очень интересно → Очень интересно,syntax
назадь → назад,ortho
неделя → неделю,gov
слышала → услышала,asp
« Глокализация » →  Слово «глокализация»,lex
сделано от слова → образовано от слова,constr
Локальный → Что такое локальный,constr
связанные → связанными,gov
организации → организаций,ortho
в → при,"lex, prep"
станут → становятся,tense
значении → значения,gov
это → такое,ref
Они → Они же,constr
совсем → совершенно,lex
Значит → Это значит,syntax
значить → значит,ortho
локальные действии → деятельность местных организаций,constr
сочетают и работают → происходят,lex
в месте → одновременно,"space, lex"
побережном → прибрежном,deriv
уменьшать → уменьшить,asp
На другой стороне → С другой стороны,idiom
привлекать → привлечь,asp
А → И,conj
такое → большое,lex
удовольство → удовольствие,infl
тратаю → трачу,altern
времени → время,gov
писать → написать,asp
любить → [MASK],syntax
веши → вещи,ortho
Во- третьих → В- третьих,"ortho, prep"
проблемом → проблемой,gender
возможности → ограниченность возможностей,constr
явлается → является,ortho
Для меня было легче → [MASK],"gov, prep, constr"
учил → научился,"refl, asp"
постаяно → постоянно,ortho
от → что от,conj
кушать в ресторанах → посещения ресторанов,constr
обычные рестораны → в обычных ресторанах,agrcase
познакомаю → знакомлюсь,"deriv, asp, refl"
путушествоваю → путешествую,"ortho, altern"
временю → время,"altern, ortho"
провожу → посвящаю,constr
исскустве → искусству,ortho
грубокие → глубокие,ortho
нагативную → негативную,ortho
популярные → популярными,agrcase
выходцы → о выходцах,gov
нацинализм → национализм,ortho
гордой → гордым,agrgender
написала → процитировала,lex
так же → также,space
способ → способ его,ref
по разному → по-разному,hyphen
не имеют → имеют не,hyphen
тоже → то же,space
по разному → по-разному,hyphen
Франции → Франция,"agrcase, lex"
Западом → западом,ortho
Востоком → востоком,ortho
Севером → севером,ortho
Югом → югом,ortho
о Кореи → о Корее,infl
что либо → что-либо,hyphen
видит → видят,agrnum
бы не отказался → не отказался бы,wo
не → не есть,aux
имеет → имеют,agrnum
наверно → наверное,lex
Главная → Главное,agrgender
различия → различие,agrnum
я здесь → здесь я,wo
получают- ли → получают ли,hyphen
работает → работают,agrnum
СПИД → СПИДа,agrcase
важная → важна,brev
ценний → ценный,ortho
передовчиком → переводчиком,ortho
кроме → кроме знания,constr
послесдствия → последствия,ortho
СПИД → СПИДа,agrcase
интересные → интересны,brev
право → права,gov
аут- рич → аутрич,hyphen
ездить → съезить,asp
в → на,agrstr
в → на,agrstr
раздали → раздавали,asp
разговарывала → разговаривала,agrstr
Очень интересно было → Было очень интересно,wo
с → со,agrstr
говорить → говорит,syntax
свобоно → свободно,agrstr
по- русскию → по-русски,agrstr
андерграунда → андеграунда,graph
рок музыку → рок-музыку,hyphen
запрешена → запрещена,ortho
Первый пример существует → В качестве первого примера можно привести ситуацию,constr
посвещен на эту историю → посвященный этой истории,gov
думала → подумала,asp
исскустве → искусстве,ortho
"что → о том, что",constr
В статьи → В статье,agrcase
музыкя → музыка,ortho
являются → является,agrnum
эффективным → таким же эффективным,constr
андерграунд → андеграунд,graph
репрессия → репрессия против,syntax
андерграунд → андеграунд,graph
могут → может,agrnum
О гастарбайтерах → Что касается гастарбайтеров,"gov, constr, constr"
самовыражения → их самовыражения,ref
коментария → проблема,lex
откревеный → откровенный,ortho
происходят → проходят,lex
прав → правах,"agrcase, gov"
жизни → о жизни,agrcase
администрации → администрацией,agrcase
администрацая → администрация,ortho
поддерживать → поддержать,asp
всю историю → вся история,agrcase
вынужденна → вынуждена,ortho
андерграунд → андеграундом,"gov, graph"
сценарий → сценарии,"infl, ortho"
писательным → письменным,deriv
пишит → пишет,ortho
на карабле сидит → сидит на корабле,wo
сталом → столом,ortho
сюжэты → сюжеты,ortho
сильно → очень,lex
и → а,conj
так же → также,"conj, space"
всё скучно → всё кажется скучным,constr
конце → итоге,lex
высшей учёности → высокой науке,lex
за их недостатки → слишком часто прощают студентам их недостатки,"constr, agrstr"
Для Толстой → [MASK],"gov, prep, constr"
и → а,"lex, conj"
круговорота воды → круговорота воды в природе,constr
распаха → распах,agrcase
"Воды которые → Вода, которую",agrnum
все → всю,"agrgender, agrnum"
все таки → все-таки,hyphen
каждым → каким-нибудь,lex
влачат жалкое существование →  ,constr
поканчивают → кончают,par
фиансовой → финансовой,del
пиютов → приютов,del
предотвротить → предотвратить,del
кампанию → кампания,"agrcase, syntax"
по предлагаемой проблеме → целью которой является предотвращение данной проблемы,constr
волонтерной → волонтерской,par
используем слова передать информацию больше и больше с помощю слов → передаем информацию все чаще при помощи слов,constr
существуют между этими культурами → между этими культурами существуют,wo
открытые → [MASK],lex
этих → таких,lex
увеличивает → усиливает,lex
защищающие → [MASK],lex
закрепить → установить,lex
озночает → означает,ortho
сознание → осознание,par
риск → рисков,"gov, num"
как автор говорит → как говорит автор,wo
между культурами → культур,constr
"межкультурности → ""межкультурность"")",agrcase
Во всем → Нигде в,constr
не читала → не встречала,lex
где → чтобы,conj
описивают → описывали,tense
превратиться → измениться,lex
сомнение в том → подозрение,lex
цомнение → сомнение,ortho
увеличивается со → усиливается со,lex
отридцательное → отрицательное,ortho
один главный тезис → одним из главных тезисов,agrcase
избежанием употребления → избежание употребления,agrcase
Корень → Корнем,gov
но → а,"conj, lex"
любознание → любознательность,lex
преобрести → приобрести,ortho
"Любопытство является то,  что делает... → Любопытство - это то, что делает...",aux
любопытным. → любознательным.,par
внешние → внешнее влияние,"agrnum, lex"
Так же → Также,space
сложено → сложно,ortho
об- во → общ-во,"ortho, space"
ано → оно,ortho
соеграло → сыграло,misspell
общество → общества,gov
"об- ве → общ-ве,","space, ortho, punct"
"людей → людей,",punct
оформлять → формулировать,lex
какую-то → какую-нибудь,ref
появлется → появляется,del
к началу или к концу → в начале или в конце,"lex, prep, constr"
нагл → англ,insert
сушествует → существует,ortho
пришли → пришло,agrpers
становится → [MASK],aux
сочинение → сочинении,agrcase
другие → другие помещения,del
неудачный → неудачным,gov
Очень → Это очень,ref
в → во,altern
такой известный → настолько известен,constr
англоговорящей → англоязычной,lex
по разному → по-разному,hyphen
и часто. → часто,syntax
и → [MASK],conj
по разному → по-разному,hyphen
в возрасте → в зрелом возрасте,"lex, constr"
обретение → обретении,infl
потерялась → потеряна,refl
Портлендыском → Портлендском,ortho
унивиситете → университете,ortho
малодвижный → малоподвижный,misspell
вакциназия → вакцинация,misspell
регулаторы → регуляторы,misspell
оборудивание → оборудование,misspell
срежды → среды,misspell
в → на,"lex, prep"
а также → но и,"conj, lex, constr"
усердно → серьезно,lex
что → [MASK],syntax
сделать → сделать что-то и,addw
уже известными способами → используя уже известные способы,constr
последные века → последнее время,"ortho, constr"
больше → сильно,lex
системи → системами,"infl, gov, prep"
ранюю → раннюю,ortho
город Киев → Киев,lex
Константинопль → Константинополь,translit
Константинопль → Константинополь,translit
такие → [MASK],syntax
как → [MASK],syntax
из → [MASK],syntax
всех → [MASK],syntax
в большинстве → большая часть которой,constr
последующие → последующее,infl
основана → основано,"infl, gender"
обшего → общего,ortho
не каким → никаким,ortho
смотрят → смотрели,tense
нравился → понравился,asp
анерексиком → анорексиком,lex
наркотиками → наркотики,infl
может быть → [MASK],lex
и → но,"conj, lex"
Колд- Крик → Колд Крик,hyphen
природо-сберегающих → природосберегающих,hyphen
экономило → сэкономило,asp
Колд- Крик → Колд Крик,hyphen
нравственные обычные → обычные нравственные,wo
в восстановлении → восстановления,gov
Колд- Крик → Колд Крик,hyphen
нужде → необходимости,par
с → со,altern
значит → означает,asp
обогатиться → разбогатеть,lex
я → то я,conj
никаких → всяких,lex
"внешние влияющие факторы → факторы, влияющие извне,",lex
на самом деле → в самом деле,constr
невозможно → нельзя,lex
Настоящая → По-настоящему,lex
только происходит → происходит только,wo
очень крайних и опасных → крайних и очень опасных,wo
идея → мысль,lex
на самом деле → просто,lex
вопрос смерти → вопрос жизни и смерти,idiom
избегать → избежать,asp
Возможно → Бывает так,lex
кратерам → критериями:,"lex, misspell"
по двум → двумя,gov
главным → основными,lex
стимулу и желанию → стимулом и желанием,gov
права → право,num
желание → желание уехать,del
и неизбежным →  ,lex
превликательном → [MASK],ortho
созданые → [MASK],"ortho, lex"
Фитцджеральда → [MASK],ortho
СССР → [MASK],syntax
автора → [MASK],syntax
сфокусированых → [MASK],ortho
в периоде → в период,"constr, gov"
Америки → Америкой,"gov, agrcase"
характеры → [MASK],ortho
стремление → [MASK],lex
ни когда  → никогда ,ortho
преобретает → [MASK],ortho
«Фидцджеральд → [MASK],"ortho, ortho"
абревиатуры → аббревиатур,"num, ortho"
выключает → включает,"lex, par"
особенности молодежного образования → особенные молодежные слова из сферы образования,"constr, lex"
несколькие → несколько,"lex, deriv"
своей →  ,ref
делают новые вещи своими → делают новое своим,constr
понятие → в понятиях,infl
Есть → Существует,lex
склонность → тенденция,lex
назвать → называть,asp
грамматикой → грамматики,"gov, agrcase"
делаются → придумывают,"lex, refl"
сферам → сферам жизни,lex
слова → слово,num
возможности → возможностей,num
реагируют с насилием → реагируют  насилием,constr
которым → котором,gov
показывают свои мнения → выражают свое мнение,constr
